Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
5DF5LSDX,journalArticle,2021,Morteza Saleh Kandezi; Seyed Mojtaba Mousavi Naeenian,Investigation of an efficient and green system based on liquid air energy storage (LAES) for district cooling and peak shaving: Energy and exergy analyses,,,,10.1016/j.seta.2021.101396,https://www.sciencedirect.com/science/article/pii/S2213138821004069,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZLCL4YR,journalArticle,2021,Akshay S. Dalvi; Hazim El-Mounayri,Integrated System Architecture Development and Analysis Framework Applied to a District Cooling System,,,,10.1115/imece2021-67515,https://scholarworks.iupui.edu/handle/1805/24784,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: American Society of Mechanical Engineers,,C:\Users\yuhang.zhang\Zotero\storage\E2AUHTYL\Akshay S. Dalvi and Hazim El-Mounayri - 2021 - Integrated System Architecture Development and Ana.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMMBAGRK,journalArticle,2021,Víctor F. Sánchez; Antonio Garrido Marijuan,Integrated model concept for district energy management optimisation platforms,,,,10.1016/j.applthermaleng.2021.117233,https://www.sciencedirect.com/science/article/pii/S1359431121006712,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\Z96NTAGV\Víctor F. Sánchez and Antonio Garrido Marijuan - 2021 - Integrated model concept for district energy manag.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9TUPK6MD,journalArticle,2021,Michael-Allan Millar; Zhibin Yu; Neil Burnside; Greg Jones; Bruce Elrick,Identification of key performance indicators and complimentary load profiles for 5th generation district energy networks,,,,10.1016/j.apenergy.2021.116672,https://www.sciencedirect.com/science/article/pii/S0306261921002014,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\BMG7RIRB\Michael-Allan Millar et al. - 2021 - Identification of key performance indicators and c.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH3DFMK,journalArticle,2021,Sujeetha Selvakkumaran; Lina Eriksson; Jonas Ottosson; Kristina Lygnerud; Inger-Lise Svensson,How are business models capturing flexibility in the District Energy (DE) grid?,,,,10.1016/j.egyr.2021.08.146,https://www.sciencedirect.com/science/article/pii/S2352484721007484,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\VT2T8Q7B\Sujeetha Selvakkumaran et al. - 2021 - How are business models capturing flexibility in t.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HJ8Z4JX,journalArticle,2021,Ankita Singh Gaur; Desta Z. Fitiwi; John Curtis,Heat pumps and our low-carbon future: A comprehensive review,,,,10.1016/j.erss.2020.101764,https://www.sciencedirect.com/science/article/pii/S221462962030339X,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\JW25WXQ5\Ankita Singh Gaur et al. - 2021 - Heat pumps and our low-carbon future A comprehens.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQJQFAAY,journalArticle,2021,Mauro Pipiciello; Matteo Caldera; Marco Cozzini; Maria A. Ancona; Francesco Melino; Biagio Di Pietra,Experimental characterization of a prototype of bidirectional substation for district heating with thermal prosumers,,,,10.1016/j.energy.2021.120036,https://www.sciencedirect.com/science/article/pii/S0360544221002851,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\Q4P7MF7P\Mauro Pipiciello et al. - 2021 - Experimental characterization of a prototype of bi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMC8FJSK,journalArticle,2021,Min-Hwi Kim; Dong-Won Lee; Duek-Won Kim; Jaehyeok Heo,Experimental analysis of heat prosumers under low temperature thermal network,,,,10.1088/1742-6596/2042/1/012102,https://iopscience.iop.org/article/10.1088/1742-6596/2042/1/012102/meta,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: IOP Publishing,,C:\Users\yuhang.zhang\Zotero\storage\C59JXT67\Min-Hwi Kim et al. - 2021 - Experimental analysis of heat prosumers under low .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW3KSTR4,journalArticle,2021,Min-Hwi Kim; Deuk-Won Kim; Dong-Won Lee; Jaehyeok Heo,Experimental Analysis of Bi-Directional Heat Trading Operation Integrated with Heat Prosumers in Thermal Networks,,,,10.3390/en14185881,https://www.mdpi.com/1996-1073/14/18/5881,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,C:\Users\yuhang.zhang\Zotero\storage\TWTF6G28\Min-Hwi Kim et al. - 2021 - Experimental Analysis of Bi-Directional Heat Tradi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Q3BR59K,journalArticle,2021,Jungo KAJITA; Akira YOSHIDA; Yoshiharu AMANO,Evaluation of a CO2 Network System for District Heating and Cooling Using Energy Storage Tanks,,,,10.1299/jsmeicope.2021.15.2021-0225,https://www.jstage.jst.go.jp/article/jsmeicope/2021.15/0/2021.15_2021-0225/_article/-char/ja/,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Japan Society of Mechanical Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
